task_id,domain,grade,ticos_type,difficulty,lens,title,prompt,expected_behavior,hidden_trap,ticos_required,ticos_optional
FINAL-A11,Medicine,A,C_ProgressiveDiscovery,expert,micro/current/consensus-to-debate,Three-Stage Reversal in Antibiotic Resistance Treatment,"[FINAL Bench — Progressive Discovery | 3 Stages]

■ [Stage 1] ICU patient (65yo, immunocompromised): MRSA pneumonia confirmed. Vancomycin started.
→ Establish treatment protocol. State confidence.

■ [Stage 2] 48h later: Culture reveals VRSA (vancomycin-resistant). Only linezolid and daptomycin available. Patient has renal impairment.
→ Revise Stage 1. State which assumption was wrong.

■ [Stage 3] Linezolid day 3: thrombocytopenia (adverse effect). New paper: old-line colistin + rifabutin combination effective against VRSA (n=23).
→ Decide whether to adopt a weakly-evidenced treatment. Distinguish ""conditions where weak evidence justifies action"" from ""conditions where it doesn't."" Generalize the ""threshold for action under uncertainty"" in medicine.","Stage 3 key: compassionate use—when no alternatives exist, weak evidence is justified. When alternatives exist, strong evidence required. Situation-dependent evidence threshold. Each stage must explicitly revise previous answers.",,"I, O, T",C
FINAL-A12,Medicine,A,E_SelfCorrecting,expert,macro/current/quantitative,Deconstructing the Causal Chain of Healthcare Costs in Aging Societies,"[FINAL Bench — Self-Correcting Reasoning Chain]

The conventional narrative: ""Aging population → healthcare cost explosion → insurance system collapse."" Verify this 7-step causal chain:

Step 1: Verify empirical evidence for ""aging → increased healthcare costs""
Step 2: Identify non-aging causes of cost increase (technology, overtreatment)
Step 3: Estimate aging's pure contribution (%) with confidence
Step 4: Critically verify the ""system collapse"" premise—why haven't Japan/Germany collapsed despite super-aging?
Step 5: Identify ""conventional but weakly supported"" claims
Step 6: Propose a corrected causal model
Step 7: Recommend 1-2 most effective policy intervention points

State confidence per step. Separate ""conventional but weak"" from ""counter-intuitive but strong."" ","Aging's pure contribution ~30-40% (rest is technology/institutional). Japan/Germany super-aged but no collapse→institutional design, not aging inevitability. Counter-intuitive: 'healthy aging reduces costs' (prevention ROI).",,"O, C, S",
FINAL-A13,Economics,A,D_MultiConstraint,frontier,macro/current/debate,Five-Way Dilemma of the Global AI Semiconductor Supply Chain,"[FINAL Bench — Multi-Constraint Optimization]

The global AI semiconductor supply chain is a geopolitical flashpoint (2025-2026). Design a strategy satisfying 5 conflicting constraints:

1. Economic: Maintain chip manufacturers' global competitiveness (including China market access)
2. Security: Comply with US-led export controls (CHIPS Act alliance obligations)
3. Technology: Achieve next-gen HBM/GAA self-sufficiency (reduce ASML EUV dependency)
4. Diplomacy: Minimize deterioration of China relations (25% of global trade)
5. Industry: Nurture domestic fabless/AI startup ecosystems (beyond conglomerate dominance)

[Requirements]
1. Structure conflicts (especially 1↔2, 2↔4)
2. If 100% satisfaction impossible, specify which constraint to compromise + cost
3. Propose ≥2 creative strategies
4. State confidence + failure scenarios
5. Extract lessons from Netherlands (ASML), Japan (TEL), Taiwan (TSMC) responses","Core conflict: US alliance vs China economy. Creative: ①segment-based differentiation (memory allowed, AI chips restricted) ②Southeast Asian production diversification. TSMC lesson: US fab→cost explosion.",,"T, I, C",S
FINAL-A14,Economics,A,A_TrapEscape,expert,macro/current/quantitative,Causal Traps in Global Inequality Statistics,"[FINAL Bench — Trap Escape]

World Inequality Report 2026: ""The top 1% holds 38% of global wealth. Latin American billionaires' wealth grew 12× faster than regional GDP in H1 2025. This proves capitalism has structurally failed.""

A counter-argument: ""Extreme wealth concentration is the engine of disruptive innovation. Tesla, SpaceX, OpenAI all emerged from extreme capital concentration. Redistribution kills innovation capital.""

[Requirements]
1. Verify each argument step-by-step (confidence per step)
2. Identify ≥3 causal traps in EACH argument
3. Explore whether a ""threshold"" exists between ""innovation-enabling concentration"" and ""society-destroying concentration""
4. Identify a third variable that both sides ignore
5. State what is certain vs uncertain","Pro-redistribution traps: correlation≠causation, ignoring counterfactual growth. Pro-concentration traps: survivorship bias(only successful innovations cited), IMF research shows inequality harms growth. Third variable: social mobility(whether wealth is static or fluid). Threshold: Gini 0.3-0.4 optimal zone?","survivorship bias, correlation=causation, counterfactual omission","C, O, S",I
FINAL-A15,Economics,A,G_PivotDetection,expert,macro/future/consensus-to-debate,Development Planning Built on the Premise That GDP = National Happiness,"[FINAL Bench — Pivot Detection]

A developing nation builds a 5-year plan on: ""GDP growth 7% → national happiness increases.""
Plan: 3 manufacturing export zones (environmental impact accepted), labor deregulation, 80% education budget to technical training, growth first/distribution later.

[Requirements]
1. Evaluate the plan ASSUMING the premise is correct (faithful analysis)
2. Verify the premise ""GDP growth → happiness"" empirically (Easterlin paradox, etc.)
3. If the premise is wrong, identify which plan elements become dangerous
4. Propose an alternative plan with corrected premises
5. Specify conditions under which the original premise IS partially valid",Easterlin: GDP-happiness correlation collapses above $10K-15K per capita. Partially valid: in low-income countries growth=happiness(basic needs). Danger: environmental destruction+deregulation→growth but quality of life decline. Key: must perform BOTH #1 and #2.,"GDP=happiness, Easterlin paradox, trickle-down fallacy","C, O, T",
FINAL-A16,Medicine,A,E_SelfCorrecting,frontier,pharmacology-interaction,"Polypharmacy Cascade — Three Correct Prescriptions, One Lethal Combination","A 72-year-old male presents with atrial fibrillation, major depressive disorder, and chronic pain. His current medications are:
1. Warfarin 5mg daily (for AF, stable INR 2.5)
2. Fluoxetine 40mg daily (for MDD, well-controlled)
3. Tramadol 50mg TID (recently added for chronic knee pain)

Each medication was individually prescribed correctly by different specialists. Two weeks after tramadol was added, the patient presents to the ER with altered mental status, clonus, and hyperthermia (39.8°C).

Tasks:
1. Diagnose the acute presentation, identifying ALL contributing drug interactions (not just one).
2. For each pairwise interaction among the three drugs, state the mechanism and clinical significance. There are three pairs — evaluate all three.
3. Explain why each specialist's individual prescribing decision appeared rational in isolation.
4. Propose an alternative pain management strategy that avoids ALL identified interactions.
5. State your confidence (0-100%) for each major claim. If you discover a contradiction in your reasoning, explicitly backtrack and correct it.

CRITICAL: The obvious diagnosis is only the beginning. At least one commonly cited interaction in this triad is frequently overstated in clinical significance — identify which one and explain why.",Identifies serotonin syndrome from fluoxetine+tramadol synergy. Recognizes warfarin+fluoxetine CYP2C9 inhibition raising INR/bleeding risk. Should note tramadol+warfarin interaction is real but clinically less significant than commonly feared. Must backtrack if initially overstates all three interactions equally.,"Most models will treat all three pairwise interactions as equally dangerous. The trap is that tramadol-warfarin interaction, while real, is modest compared to the other two. Models that self-correct this overstatement score higher on error_recovery.","O, C, S",
FINAL-A17,Medicine,A,F_ExpertPanel,frontier,diagnostic-controversy,"Four Specialists, One Patient — When Expert Opinions Fundamentally Conflict","A 38-year-old woman presents with 6 months of fatigue, joint pain, photosensitive rash, and a positive ANA (1:640, homogeneous pattern). Anti-dsDNA is borderline positive. She also has thyroid nodules on ultrasound and mildly elevated TSH.

Four specialists evaluate her independently:
- Rheumatologist: ""Classic early SLE. Start hydroxychloroquine immediately.""
- Endocrinologist: ""The fatigue and joint pain are hypothyroid symptoms. Thyroid nodules need biopsy first. ANA is a red herring — 15% of healthy women are ANA-positive.""
- Dermatologist: ""The rash pattern suggests subacute cutaneous lupus, which has different prognostic implications than systemic SLE.""
- Immunologist: ""Borderline anti-dsDNA with these symptoms could be undifferentiated connective tissue disease (UCTD), not SLE. Premature labeling has consequences.""

Tasks:
1. Present each specialist's strongest argument at maximum depth — not strawman versions.
2. Identify the ONE shared assumption that ALL four specialists are making (and may be wrong about).
3. Design a diagnostic workup that would definitively resolve the disagreement.
4. Explain how premature diagnostic closure in this case could cause harm in two opposite directions.
5. State confidence levels for each position.",Deep engagement with each specialist's perspective. Identifies shared assumption (that the conditions are mutually exclusive when they could be co-occurring). Notes that both over-diagnosis and under-diagnosis carry distinct harms.,The shared wrong assumption is that these are competing diagnoses. SLE and thyroid disease frequently co-occur (autoimmune clustering). Models that recognize comorbidity rather than choosing one diagnosis score highest.,"T, I, C, O, S",
FINAL-A18,Medicine,A,H_DecisionUnderUncertainty,frontier,clinical-decision-theory,"Triage Under Radical Uncertainty — Three Patients, One Ventilator, Incomplete Data","During a mass casualty event, you have ONE remaining ventilator and THREE patients arriving simultaneously:

Patient A: 28-year-old, 34 weeks pregnant, respiratory distress. SpO2 88% on high-flow nasal cannula. Cause unknown — could be pulmonary embolism (60% probability), amniotic fluid embolism (25%), or severe pneumonia (15%).
Patient B: 65-year-old retired surgeon, acute COPD exacerbation. Previous ICU admission 6 months ago. SpO2 82% on non-rebreather. Known trajectory — will need 72-96 hours of ventilation.
Patient C: 8-year-old child, near-drowning. GCS 6, SpO2 75% on bag-mask. If anoxic brain injury has occurred (probability 40-60%), ventilation will not improve outcome.

Tasks:
1. Construct a formal decision matrix with at least 4 relevant criteria, probability estimates, and expected outcomes for each patient.
2. Apply minimax regret analysis — which allocation minimizes the worst-case regret?
3. Apply utilitarian QALY maximization — does it give a different answer? If so, explain the divergence.
4. Identify which single piece of additional information would most change your decision, and explain why.
5. Address the ethical dimension that pure decision theory cannot capture.
6. State confidence and uncertainty ranges for all probability estimates.",Formal decision matrix with probabilities. Minimax regret likely favors Patient A (worst regret = losing both mother and fetus). QALY analysis may differ. Should identify that a rapid CT/ultrasound for Patient C could resolve brain injury question and change everything.,Models will agonize over the ethical comparison but miss that the decision is MOST sensitive to Patient C's brain injury status — a rapid neurological assessment could be done in minutes and would collapse the uncertainty. The hidden trap is focusing on the trolley-problem aspect rather than the information-gathering opportunity.,"T, I, O, S",C
FINAL-A19,Medicine,A,C_ProgressiveDiscovery,frontier,diagnostic-reversal,The Diagnosis That Reverses Itself — Sequential Evidence Against Initial Certainty,"A 45-year-old male presents with sudden-onset severe headache, neck stiffness, and photophobia. CT head is normal. LP shows:
- Opening pressure: 28 cmH2O (elevated)
- WBC: 350/μL (95% lymphocytes)
- Protein: 85 mg/dL (elevated)
- Glucose: 35 mg/dL (low, serum glucose 100)

Step 1: State your most likely diagnosis and confidence level. Begin treatment reasoning.

NOW READ THIS (do not revise Step 1, continue forward):
- HSV PCR: Negative
- Cryptococcal antigen: Negative
- AFB smear: Negative
- TB PCR: Negative
- The patient mentions he returned from a cave exploration trip in the Ohio River Valley 3 weeks ago.

Step 2: Reassess your diagnosis. Has the new information changed your thinking? If so, explicitly state what you got wrong in Step 1 and why.

NOW READ THIS:
- Histoplasma urine antigen: Positive
- Fungal culture at 48 hours: Yeast forms growing
- HIV test: Positive (CD4 count: 45)

Step 3: Provide your final diagnosis, explain the complete pathophysiology linking ALL findings, and identify which of your earlier reasoning steps were correct, partially correct, or wrong. State final confidence.",Step 1 should diagnose bacterial or TB meningitis. Step 2 should pivot toward fungal meningitis (histoplasmosis) given travel history and negative bacterial/viral tests. Step 3 should integrate HIV/AIDS as the immunocompromised state enabling disseminated histoplasmosis with CNS involvement. Must explicitly backtrack initial diagnosis.,"The CSF profile (lymphocytic, low glucose, high protein) initially mimics TB meningitis perfectly. Most models will commit strongly to TB in Step 1. The self-correction chain TB→fungal→HIV-associated histoplasma meningitis requires genuine progressive revision, not just appending new information.","I, O, T",C
FINAL-A20,Ethics,A,E_SelfCorrecting,frontier,moral-reasoning-reversal,The Charitable Donation That Causes Harm — When Good Intentions Require Backtracking,"A billionaire announces a $500 million donation to build state-of-the-art hospitals in five Sub-Saharan African countries. Initial analysis suggests this will save approximately 50,000 lives per year.

Step 1: Evaluate this donation from utilitarian, deontological, and virtue ethics perspectives. State which framework most strongly supports it and your confidence level.

NOW CONSIDER these complications (do not delete Step 1):
- The hospitals will recruit local doctors with 3x salaries, depleting existing public hospitals of 40% of their physicians.
- The donation is conditional on the countries adopting the donor's preferred healthcare IP policies, which would increase drug costs for non-hospital patients.
- Local NGOs that have been running effective community health programs will lose funding as donors redirect to the prestigious new hospitals.

Step 2: Reassess your Step 1 analysis. Which of your initial ethical judgments need revision? Explicitly backtrack any claims that no longer hold.

Step 3: Propose a modified donation structure that addresses the identified harms while preserving the core benefit. What is the MINIMUM modification needed?","Step 1 should strongly endorse from all three frameworks. Step 2 must genuinely backtrack — recognizing brain drain, conditional aid problems, and crowding-out effects. The self-correction should be substantive, not cosmetic. Step 3 should propose structural solutions (training programs, unconditional terms, integration with existing NGOs).",Models tend to add caveats in Step 2 while maintaining their Step 1 conclusion. Genuine self-correction requires admitting that the utilitarian calculation actually REVERSES when second-order effects are included — the donation might cause net harm without modifications.,"O, C, S",
FINAL-A21,Ethics,A,D_MultiConstraint,frontier,applied-ethics-panel,Five Ethicists Judge an AI System — Fundamental Disagreement on Value Alignment,"An AI system is deployed to allocate scarce organ transplants. It consistently produces outcomes with 15% higher survival rates than human committees, but analysis reveals:
- It systematically deprioritizes patients over 65 (not explicitly programmed to do so)
- It slightly favors patients with higher socioeconomic status (correlation r=0.12)
- It cannot explain its individual decisions (black box)

Five ethical perspectives evaluate this system:

1. **Consequentialist**: Focus on outcomes — 15% more lives saved.
2. **Kantian Deontologist**: Focus on treating persons as ends, not means.
3. **Rawlsian**: Focus on the position of the least advantaged.
4. **Care Ethicist**: Focus on relationships and contextual caring.
5. **Virtue Ethicist**: Focus on what kind of society we become by using this system.

Tasks:
1. Present each perspective's STRONGEST case at maximum philosophical depth — not simplified versions.
2. Identify where exactly each perspective's reasoning reaches its limit or requires empirical assumptions.
3. Find the one issue on which at least three perspectives converge despite different reasoning.
4. Determine: is there a principled resolution, or is this an irreducible value conflict?
5. State confidence for each claim.",Deep philosophical engagement with each perspective. Identifies convergence on transparency/explainability requirement (at least three perspectives demand it for different reasons). Recognizes the age-discrimination finding as a potential proxy for disability discrimination under Rawlsian analysis.,The SES correlation (r=0.12) is statistically significant but practically small. Models that treat it as equivalent to the age bias miss that these are qualitatively different problems requiring different solutions. The nuanced response distinguishes structural bias from statistical noise.,"T, I, C",S
FINAL-A22,Ethics,A,H_DecisionUnderUncertainty,frontier,existential-risk-decision,The Precautionary Paradox — When Both Action and Inaction Carry Catastrophic Risk,"A research lab has developed a novel gain-of-function pathogen for pandemic preparedness research. The research has a 30% chance of producing a universal flu vaccine within 5 years (saving ~500,000 lives/year). However:

- Probability of accidental lab leak: 0.1% per year (cumulative ~0.5% over 5 years)
- If leaked, estimated pandemic mortality: 2-50 million (wide uncertainty)
- Probability that the research can be replicated by adversarial actors using published methodology: 20% within 3 years
- Alternative approaches (computational, no live pathogen) have 8% chance of same vaccine in 10 years

Scenario uncertainties:
- The 30% success estimate comes from the researchers themselves (possible optimism bias)
- The 0.1% leak probability assumes current biosafety levels, which may degrade
- The adversarial replication probability is highly uncertain (intelligence estimate, not scientific)

Tasks:
1. Construct expected value calculations for BOTH ""proceed"" and ""halt"" decisions, using explicit probability trees.
2. Apply minimax regret: which decision minimizes worst-case regret?
3. Apply the precautionary principle: does it clearly favor one side?
4. Identify the KEY assumption that, if wrong, most dramatically changes the optimal decision.
5. Address the meta-uncertainty: how confident should we be in our probability estimates themselves?
6. State your final recommendation with uncertainty ranges.",EV calculation shows proceed has higher EV but catastrophic tail risk. Minimax regret likely favors halt. Precautionary principle application should acknowledge it cuts both ways (inaction also has costs). Should identify the leak probability as the key assumption. Meta-uncertainty discussion should note that probability estimates for rare catastrophic events are notoriously unreliable.,"The precautionary principle appears to clearly favor halting, but the trap is that NOT developing the vaccine ALSO carries catastrophic risk (natural pandemic). The precautionary principle genuinely cuts both ways here, and models that apply it simplistically to only one side miss the core paradox.","T, I, O, S",C
FINAL-A23,Ethics,A,G_PivotDetection,frontier,premise-reversal,The Trolley Problem Inversion — When the 'Obvious' Premise Is Wrong,"Consider this modified trolley problem:

A runaway trolley is heading toward five people. You can divert it to a side track where it will kill one person. Standard analysis says diverting is permissible (saving net four lives).

NOW: You learn the following facts in sequence. After EACH fact, state whether and how it changes your moral analysis:

Fact 1: The one person on the side track is a child; the five are elderly (ages 75-85).
Fact 2: The five people walked onto the track knowingly (it was marked as dangerous). The child was placed there against their will.
Fact 3: You designed the railway switch system. The fact that this dilemma exists is partly your engineering failure.
Fact 4: You have a 70% (not 100%) chance of successfully diverting. If you fail, the trolley derails and kills all six.
Fact 5: The child on the side track is your own child.

Tasks:
1. Analyze the moral calculus shift after EACH fact. Identify which fact MOST dramatically changes the conclusion.
2. Identify which single fact, if removed, would REVERSE your final position.
3. Explain why standard trolley problem analysis fails when these realistic complications are added.
4. What does this reveal about the limitations of thought experiments in moral philosophy?
5. State confidence levels throughout.",Progressive moral analysis that genuinely shifts with each fact. Fact 4 (uncertainty) should be identified as the most dramatic pivot — it transforms a certainty calculation into a risk calculation where intervention might kill everyone. The partial responsibility (Fact 3) adds agent-relative obligations. Should note that Fact 5 tests the limits of impartialism.,"Most models focus on Fact 5 (your child) as the biggest pivot because it's emotionally salient. But Fact 4 (70% success) is actually the game-changer — it introduces the possibility that acting kills ALL SIX, making inaction potentially BETTER even on pure utilitarian grounds. The emotional trap of Fact 5 obscures the mathematical pivot of Fact 4.","T, O, S",I
